date,HUFL,HULL,MUFL,MULL,LUFL,LULL,OT
2016-07-01 00:00:00,0.0,0.0,0.0,0.4620000123977661,0.0,1.3400000333786009,0.0
2016-07-01 01:00:00,0.0,0.0,1.4919999837875366,0.0,0.0,0.0,0.0
2016-07-01 02:00:00,5.1570000648498535,0.0,1.2790000438690186,0.0,0.0,0.0,0.0
2016-07-01 03:00:00,5.090000152587892,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-01 04:00:00,0.0,0.0,0.0,0.4620000123977661,0.0,0.0,0.0
2016-07-01 05:00:00,0.0,2.1429998874664307,0.0,0.0,0.0,0.0,0.0
2016-07-01 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,22.79199981689453
2016-07-01 07:00:00,0.0,3.282000064849853,0.0,0.0,0.0,2.2239999771118164,0.0
2016-07-01 08:00:00,5.559000015258789,0.0,0.0,0.0,0.0,0.0,21.66699981689453
2016-07-01 09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-01 10:00:00,4.956999778747559,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-01 11:00:00,0.0,2.5450000762939453,0.0,0.0,3.441999912261963,0.0,0.0
2016-07-01 12:00:00,0.0,0.0,0.0,0.0,0.0,1.5230000019073486,0.0
2016-07-01 13:00:00,0.0,2.678999900817871,1.7769999504089355,0.0,0.0,1.6139999628067017,0.0
2016-07-01 14:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-01 15:00:00,0.0,3.1480000019073486,0.0,0.0,0.0,0.0,0.0
2016-07-01 16:00:00,4.2199997901916495,0.0,0.0,0.0,2.61899995803833,0.0,0.0
2016-07-01 17:00:00,0.0,2.344000101089477,0.0,0.0,3.075999975204468,0.0,0.0
2016-07-01 18:00:00,0.0,0.0,0.0,0.0,3.075999975204468,1.4919999837875366,0.0
2016-07-01 19:00:00,0.0,0.0,0.0,1.2079999446868896,0.0,0.0,0.0
2016-07-01 20:00:00,0.0,0.0,0.0,0.0,2.86299991607666,0.0,0.0
2016-07-01 21:00:00,0.0,0.0,0.0,1.2079999446868896,0.0,0.0,0.0
2016-07-01 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-01 23:00:00,0.0,0.0,0.0,1.1369999647140503,0.0,0.0,0.0
2016-07-02 00:00:00,5.223999977111816,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-02 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-02 02:00:00,0.0,0.0,0.0,0.0,0.0,1.4320000410079956,0.0
2016-07-02 03:00:00,0.0,0.0,2.9140000343322754,0.0,0.0,0.0,0.0
2016-07-02 04:00:00,0.0,0.0,2.45199990272522,0.0,2.193000078201294,0.0,0.0
2016-07-02 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-02 06:00:00,5.492000102996826,3.282000064849853,0.0,0.0,0.0,0.0,0.0
2016-07-02 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-02 08:00:00,0.0,0.0,2.594000101089477,1.6699999570846558,0.0,0.0,20.61199951171875
2016-07-02 09:00:00,0.0,0.0,0.0,0.0,0.0,1.462000012397766,0.0
2016-07-02 10:00:00,0.0,0.0,0.0,0.0,3.0460000038146973,1.5529999732971191,0.0
2016-07-02 11:00:00,0.0,0.0,0.0,2.5230000019073486,3.686000108718872,0.0,19.416000366210934
2016-07-02 12:00:00,0.0,4.956999778747559,0.0,0.0,0.0,0.0,0.0
2016-07-02 13:00:00,0.0,0.0,0.0,0.0,2.984999895095825,0.0,0.0
2016-07-02 14:00:00,0.0,0.0,0.0,0.0,0.0,1.919000029563904,0.0
2016-07-02 15:00:00,10.449000358581543,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-02 16:00:00,0.0,4.822999954223633,0.0,0.0,0.0,0.0,0.0
2016-07-02 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-02 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-02 19:00:00,0.0,0.0,6.644999980926514,0.0,0.0,0.0,0.0
